Provincia,,Cultivos anuales,Cultivos perennes,Forrajeras anuales,Forrajeras perennes,Bosques y montes implantados,Sin discriminar,Pastizales,Bosques y montes naturales,Superficie apta no cultivada,Superficie no apta (1),"Caminos, parques y viviendas",Sin discriminar condición ni uso
Total del pais,,22230131.4,1064022.7,3260616.8,3521230.3,804097.4,1019772.6,71476512.6,30161883.5,2264759.7,9727132.2,1479021.9,7802645.2
Buenos Aires,,7238198.1,7632.8,1440555.8,990902.2,25111.2,281359.6,10126311.2,603344.5,406404.7,1334139.6,220000.2,925705.6
Catamarca,,72347.1,24084.1,4740.5,8248.5,711.3,6616,331870.4,469376.1,15292.8,187577.5,4039.1,53434.6
Chaco,,843478.1,101.9,42796.9,83450.9,1424.5,53620.1,1529053.2,2213594.7,133934.2,499003,65853.6,313952.5
Chubut,,852,542.3,1533.7,20803.4,14985.6,1366.5,15589744.9,424984,17807.7,755369.6,35105.6,121223.5
Cordoba,,5858305.7,3602.9,529558.4,593472.4,12243.1,144935,1265801.8,1672355.6,185672.9,784620.4,116155.6,544460.1
Corrientes,,77632.3,37850.5,18515.6,29083.3,277213.5,39280.6,4070205.9,296372.1,102752.8,548090.6,62915.1,583936.1
Entre Rios,,1382595.6,31495.1,128355.7,183205.3,106151.8,62568,1577451.9,1134142.9,83327.2,186921.1,37372,289698
Formosa,,24833.2,2261.4,5182.4,211623.2,313.5,23566.8,1394541.9,2045995.2,35403.8,453968.8,43612.3,193614.1
Jujuy,,34990.5,118267,638.6,3104.4,1162.7,5661.8,628826.3,357370.5,22900.6,259623.1,24907.8,74147.8
La Pampa,,752357.6,110.8,521844.5,356334.9,89,39376.1,2459711.7,5076053.7,232801.6,247863.6,120775.4,1045674.7
La Rioja,,800.4,37601.9,241.6,9005.4,706.3,1975.4,579110.7,755478.8,3431.3,85274.4,59003.9,1064345.9
Mendoza,,2512,186959.8,4176.8,27400.3,3802.2,40552.8,2413677.2,2127237.8,203321.5,572234.1,92302.7,313970.9
Misiones,,51981.7,203668.5,3055.3,36426.1,303767.1,10926.6,249837.5,792976,36164.5,39695.3,39991.9,95193.9
Neuquen,,203,6513.6,225.8,4793.8,38671.1,9708.2,2337900.3,455573.4,109453.1,479245.2,94882.3,232455.5
Rio Negro,,7226.4,31755.9,14068.4,25827,4416.2,13532.2,7492379.1,2795066.8,31548.3,500614.2,66074.3,324230.1
Salta,,626544.2,47317.8,36908.2,99919,3356.2,121424.2,613721.6,1644825.2,195902.4,696607.8,63306.2,237254.5
San Juan,,184,45412.4,212.4,3433.5,549,15731,63981,326834.3,52124.2,172581.5,9768.9,109173.5
San Luis,,501126.8,332,187491.3,209956.5,67.5,20270.9,1887214.6,2507179.6,102852.7,189050.3,35616,166414.5
Santa Cruz,,0.2,220.7,10,11247.9,0.4,12.9,11808563,325133.3,9427.2,823515.1,78930.5,66321.8
Santa Fe,,3211668.2,2869.7,261668,368535.4,8887.3,64439.1,3198035.4,1222456.6,114784.8,480953.3,76689.9,467924.5
Santiago del Estero,,1360885.9,1006.3,50153.7,226387.1,11,51350.2,1062220.1,2433625.5,136899.2,260527.2,100194.6,457591.9
Tierra del Fuego,,0.4,0.5,12,38.1,0,27.1,740840.7,241660.9,200,70608,18726.9,12.7
Tucuman,,181407,274413.9,8670.3,18030.8,456.3,11470.6,55511.1,240245.1,32351.1,99047.5,12795.9,121907.4
