"","col","row","code","name_es"
"1",1,1,"AR-Y","Jujuy"
"2",3,2,"AR-P","Formosa"
"3",5,2,"AR-N","Misiones"
"4",1,2,"AR-A","Salta"
"5",2,2,"AR-T","Tucumán"
"6",1,3,"AR-K","Catamarca"
"7",3,3,"AR-H","Chaco"
"8",4,3,"AR-W","Corrientes"
"9",2,3,"AR-G","Santiago.del.Estero"
"10",2,4,"AR-X","Córdoba"
"11",4,4,"AR-E","Entre.Ríos"
"12",1,4,"AR-F","La.Rioja"
"13",3,4,"AR-S","Santa.Fe"
"14",3,5,"AR-B","Buenos.Aires"
"15",4,5,"AR-C","C.A.B.A."
"16",1,5,"AR-J","San.Juan"
"17",2,5,"AR-D","San.Luis"
"18",2,6,"AR-L","La.Pampa"
"19",1,6,"AR-M","Mendoza"
"20",1,7,"AR-Q","Neuquén"
"21",2,7,"AR-R","Río.Negro"
"22",1,8,"AR-U","Chubut"
"23",1,9,"AR-Z","Santa.Cruz"
"24",1,10,"AR-V","Tierra.del.Fuego"
